id,date,sd,quantile,sign,trade,perd,chg,name,closing_price
487,2015/12/31,0.00157184,-0.0129824,0,0,1,0,marketing_bear_lin1,0
488,2016/1/29,0.000684048,-0.0130437,0,0,1,0,marketing_bear_lin1,0
489,2016/2/29,0.00126537,-0.0130026,0,0,0,-1,marketing_bear_lin1,0
490,2016/3/31,-0.000924035,-0.0128682,0,0,0,0,marketing_bear_lin1,0
491,2016/4/29,-0.000508467,-0.0125232,0,0,0,0,marketing_bear_lin1,0
492,2016/5/31,-0.00126008,-0.0117801,0,0,0,0,marketing_bear_lin1,0
493,2016/6/30,-0.00060946,-0.0111059,0,0,0,0,marketing_bear_lin1,0
494,2016/7/29,0.00152486,-0.0107188,0,0,0,0,marketing_bear_lin1,0
495,2016/8/31,0.00253764,-0.0106923,0,0,0,0,marketing_bear_lin1,0
496,2016/9/30,0.00466002,-0.0107424,0,0,0,0,marketing_bear_lin1,0
497,2016/10/31,0.00592752,-0.010681,0,0,0,0,marketing_bear_lin1,0
498,2016/11/30,0.0076952,-0.0103276,0,0,0,0,marketing_bear_lin1,0
499,2016/12/30,0.00785786,-0.00976793,0,0,0,0,marketing_bear_lin1,0
500,2017/1/31,0.00564058,-0.00912399,0,0,0,0,marketing_bear_lin1,0
501,2017/2/28,0.00521074,-0.00871416,0,0,0,0,marketing_bear_lin1,0
502,2017/3/31,0.00618615,-0.00848207,0,0,0,0,marketing_bear_lin1,0
503,2017/4/28,0.00770853,-0.00827099,0,0,0,0,marketing_bear_lin1,0
504,2017/5/31,0.00730249,-0.00808404,0,0,0,0,marketing_bear_lin1,0
505,2017/6/30,0.00511624,-0.00771456,0,0,0,0,marketing_bear_lin1,0
506,2017/7/31,0.00403815,-0.00753217,0,0,0,0,marketing_bear_lin1,0
507,2017/8/31,0.0043715,-0.00737902,0,0,0,0,marketing_bear_lin1,0
508,2017/9/29,0.00633391,-0.00734514,0,0,0,0,marketing_bear_lin1,0
509,2017/10/31,0.00811299,-0.00732188,0,0,0,0,marketing_bear_lin1,0
510,2017/11/30,0.00760073,-0.00719382,0,0,0,0,marketing_bear_lin1,0
511,2017/12/29,0.00603446,-0.00695648,0,0,0,0,marketing_bear_lin1,0
512,2018/1/31,0.00438153,-0.00659713,0,0,0,0,marketing_bear_lin1,0
513,2018/2/28,0.0027848,-0.00604113,0,0,0,0,marketing_bear_lin1,0
514,2018/3/30,0.00143278,-0.0051116,0,0,0,0,marketing_bear_lin1,0
515,2018/4/30,-0.00223939,-0.00436922,0,0,0,0,marketing_bear_lin1,0
516,2018/5/31,-0.00278445,-0.00414906,0,0,0,0,marketing_bear_lin1,0
517,2018/6/29,-0.00427658,-0.0042843,0,0,0,0,marketing_bear_lin1,0
518,2018/7/31,-0.00298133,-0.0043415,0,0,0,0,marketing_bear_lin1,0
519,2018/8/31,-0.00421365,-0.00375298,1,0,0,0,marketing_bear_lin1,0
520,2018/9/28,-0.00524041,-0.00290985,1,1,0,0,marketing_bear_lin1,0
521,2018/10/31,-0.00968427,-0.00251108,1,1,1,1,marketing_bear_lin1,0
522,2018/11/30,-0.00444682,-0.00259884,1,1,1,0,marketing_bear_lin1,0
523,2018/12/31,-0.000781385,-0.00269017,0,0,1,0,marketing_bear_lin1,0
524,2019/1/31,0.00812128,-0.00258943,0,0,1,0,marketing_bear_lin1,0
525,2019/2/28,0.0114754,-0.00255417,0,0,1,0,marketing_bear_lin1,0
526,2019/3/29,0.0103619,-0.00237467,0,0,0,-1,marketing_bear_lin1,0
527,2019/4/30,0.0003634,-0.00233535,0,0,0,0,marketing_bear_lin1,0
528,2019/5/31,-0.0119282,-0.0031869,1,0,0,0,marketing_bear_lin1,0
13,2019/6/28,-0.0165761,-0.00449489,1,1,0,0,marketing_bear_lin1,10730.8
14,2019/7/31,-0.0162555,-0.00571057,1,1,1,1,marketing_bear_lin1,10823.8
15,2019/8/30,-0.0157189,-0.00680244,1,1,1,0,marketing_bear_lin1,10618
16,2019/9/30,-0.0142121,-0.00772913,1,1,1,0,marketing_bear_lin1,10829.7
17,2019/10/31,-0.011734,-0.00843032,1,1,1,0,marketing_bear_lin1,11358.7
18,2019/11/29,-0.011133,-0.00906039,1,1,1,0,marketing_bear_lin1,11489.6
19,2019/12/31,-0.0104612,-0.00961221,1,1,1,0,marketing_bear_lin1,11997.1
20,2020/1/31,-0.00988038,-0.0100985,0,0,1,0,marketing_bear_lin1,11495.1
21,2020/2/28,-0.00796904,-0.0104588,0,0,1,0,marketing_bear_lin1,11292.2
22,2020/3/31,0.00879917,-0.0104694,0,0,1,0,marketing_bear_lin1,9708.06
23,2020/4/30,0.0253124,-0.0110116,0,0,0,-1,marketing_bear_lin1,10992.1
24,2020/5/29,0.0439002,-0.0126247,0,0,0,0,marketing_bear_lin1,10942.2
194,2020/6/30,0.0260354,-0.01281,0,0,0,0,marketing_bear_lin1,11621.2
210,2020/7/31,0.00580928,-0.012779,0,0,0,0,marketing_bear_lin1,12664.8
226,2020/8/31,-0.0149943,-0.0135632,1,0,0,0,marketing_bear_lin1,12795.5
529,2007/9/28,0.066288,-0.014294,0,0,0,0,marketing_bear_lin2,0
530,2007/10/31,0.0651186,-0.0141633,0,0,0,0,marketing_bear_lin2,0
531,2007/11/30,0.0265431,-0.014518,0,0,0,0,marketing_bear_lin2,0
532,2007/12/31,-0.036349,-0.0195994,1,0,0,0,marketing_bear_lin2,0
241,2008/1/31,-0.153872,-0.0410903,1,1,0,0,marketing_bear_lin2,0
242,2008/2/29,-0.0961121,-0.0493437,1,1,1,1,marketing_bear_lin2,0
243,2008/3/31,-0.172647,-0.0646774,1,1,1,0,marketing_bear_lin2,0
244,2008/4/30,-0.100501,-0.0732593,1,1,1,0,marketing_bear_lin2,0
245,2008/5/30,-0.120795,-0.0827241,1,1,1,0,marketing_bear_lin2,0
246,2008/6/30,-0.0978767,-0.0893223,1,1,1,0,marketing_bear_lin2,0
533,2008/7/31,-0.0831259,-0.0948529,0,0,1,0,marketing_bear_lin2,0
534,2008/8/29,-0.0923726,-0.10089,0,0,1,0,marketing_bear_lin2,0
535,2008/9/30,-0.151502,-0.111686,1,0,1,0,marketing_bear_lin2,0
536,2008/10/31,-0.1708,-0.124032,1,1,0,-1,marketing_bear_lin2,0
